name,company,summary,locations_joined,city_guess,name_key,industry,role_family,seniority,core_skills,education_required,languages_required,employment_type,confidence,years_min,years_max
Chuyên Viên Kinh Doanh (Phát Triển Mạng Lưới/nhượng Quyền),Công Ty Phát Triển Trạm Sạc Toàn Cầu V-Green,"- Seeking and working with business partners and government agencies to expand the charging station network nationwide
- Seeking and engaging potential investors/partners to implement the company's EV charging station franchise model
- Advising, negotiating, and persuading investors to sign cooperation agreements
- Maintaining effective relationships with existing investors
- Updating customer data and reporting work fully according to internal procedures


- Graduated from College/University, preferred majors: Marketing, Business Administration or related fields
- Minimum 01 year of experience in positions such as: business, project development, site development, market development,...
- Proficiency in communication, negotiation, planning, persuasion and handling situations
- Ability to collect and analyze market information, trends and competitive rivals.
- Priority given to applicants who have worked with government agencies or have knowledge of working procedures with public units.
- Proactive, flexible and willing to travel for work.","Vincom Plaza Long Biên, Phố Chu Huy Mân, Vinhomes Riverside, Phúc Lợi, Long Biên, Hanoi, Vietnam; Vincom Center Đồng Khởi, Đường Lê Thánh Tôn, Bến Nghé, Quận 1, Hồ Chí Minh, Việt Nam; Đà Nẵng, Vietnam",Hồ Chí Minh,chuyên viên kinh doanh (phát triển mạng lưới/nhượng quyền),Others,Sales,Junior,"['Sales', 'Negotiation', 'Communication', 'Market Analysis']",College,[],Full-time,0.8,1.0,
Trợ Lý Marketing,Trang Văn hóa công ty,"- Support marketing activities of the company
- Assisting leadership in reaching out to investment promotion channels and meeting with clients
- Planning itineraries for clients interested in visiting investment environments
- Providing consulting on investment procedures and construction for clients
- Tracking and promoting project development, ensuring project goals are met in terms of progress and quality
- Translating meetings, conferences, and exchanges between the company and the investor, acting as a bridge between management and clients
- Completing other tasks assigned by superiors 
-  Age: 21-29
-  Bachelor's degree or higher in a field related to Chinese
-  Fluent in Mandarin (listening, speaking, reading, writing), English fluency is a bonus
-  Proficiency in office computer software
-  Monday to Friday work schedule","Tầng 9, tòa nhà Lotus Buiding, số 2 phố Duy Tân, phường Dịch Vọng Hậu, quận Cầu Giấy, thành phố Hà Nội",Hà Nội,trợ lý marketing,Others,Marketing,Junior,"['Marketing', 'Communication', 'Translation', 'English', 'Mandarin']",Bachelor,"['English', 'Mandarin']",Full-time,0.8,,
Customer Success (Japanese N2+),Trang Văn hóa công ty,"- Understanding Geniee's products (Geniee SFA/CRM).
- Operating and working with systems/platforms.
- Joining meetings with Japanese clients to collect requests and support system setup.
- Building and maintaining relationships with relevant departments.
- Supervising team workload, handling requests, conducting research, and providing guidance (for Leader/Specialist).
- Good Japanese (N2 level required) and basic English communication skills.
- Proficiency in office equipment systems (email, internet, Microsoft Office).
- At least 2 years of experience in related fields (for Leader/Specialist).
- Knowledge of Salesforce, leading a team, or IT project management (for Leader/Specialist).
- Knowledge of MySQL, MongoDB, or Velocity is advantageous.","Ngoc Khanh Plaza, 1 Pham Huy Thong, Ba Dinh, Ha Noi",Hà Nội,customer success (japanese n2+),IT,Customer Success,Mid,"['Japanese (N2)', 'CRM', 'Japanese Speaking', 'Customer Success']",College,"['Japanese', 'English']",Full-time,0.85,2.0,
Senior Accountant,BIS,"- Full control and maintenance of accounting systems (AR, AP, FA, P&L, BS, Cash Book, GL)
- Operational and capital expenditure analysis and budget adherence
- Preparation of statutory financial reports (Personal Income Tax, Withholding Tax, CIT)
- Monthly accounts reconciliation
- Preparation of annual budgets, quarterly forecasts, and monthly management reports
- Supervision of fixed asset postings in subsidiary ledger
- Analysis of income and expenditure, financial statement consolidation, and management reporting
- Approval of operational account postings in subsidiary ledgers
- Review and preparation of General Ledger and Trial Balance
- Consolidation of Vietnamese accounts (P&L and BS)
- Coordination of audit requirements and liaison with external auditors
- Cash flow management and placements of excess funds
- Review of tuition fee and revenue allocation


- Bachelor’s degree in Finance/Accounting
- CA or MBA in Accounting/Finance (Advantage)
- Minimum 3 years of experience in the same position in a large organization
- Excellent Microsoft Office skills
- Ability to work independently
- Strong written and verbal communication skills
- Familiarity with Vietnamese law and regulations
- Proficiency in English","246 Nguyễn Văn Hưởng, phường Thảo Điền, Quận 2, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,senior accountant,Finance,Finance,Senior,"['Financial Reporting', 'Accounting', 'Budgeting', 'Analysis', 'Microsoft Office', 'Vietnamese Law']",Bachelor,"['Vietnamese', 'English']",Full-time,0.95,3.0,
Senior Accountant,BIS,"- Full control and maintenance of accounting systems (AR, AP, FA, P&L, BS, Cash Book, GL)
- Operational and capital expenditure analysis and budget adherence
- Preparation of statutory financial reports (Personal Income Tax, Withholding Tax, CIT)
- Monthly accounts reconciliation
- Preparation of annual budgets, quarterly forecasts, and monthly management reports
- Supervision of fixed asset postings in subsidiary ledger
- Analysis of income and expenditure, financial statement consolidation, and management reporting
- Approval of operational account postings in subsidiary ledgers
- Review and preparation of General Ledger and Trial Balance
- Consolidation of Vietnamese accounts (P&L and BS)
- Coordination of audit requirements and liaison with external auditors
- Cash flow management and placements of excess funds
- Review of tuition fee and revenue allocation


- Bachelor’s degree in Finance/Accounting
- CA or MBA in Accounting/Finance (Advantage)
- Minimum 3 years of experience in the same position in a large organization
- Excellent Microsoft Office skills
- Ability to work independently
- Strong written and verbal communication skills
- Familiarity with Vietnamese law and regulations
- Proficiency in English","246 Nguyễn Văn Hưởng, phường Thảo Điền, Quận 2, Thành phố Hồ Chí Minh, Việt Nam",Hồ Chí Minh,senior accountant,HR,Accounting,Lead,"['Excel', 'VLOOKUP', 'pivot tables', 'accounting systems', 'Financial Reporting', 'General Accounting', 'Tax Compliance', 'Payroll', 'Business Acumen']","Bachelor's degree (or higher) in Accounting, Finance, or ACCA/CIMA/CPA equivalent",[],Job,0.8,3.0,5.0
Nhân Viên Quan Hệ Khách Hàng Doanh Nghiệp,Trang Văn hóa công ty,"- Seek customers, contact and meet to introduce financial leasing services to customers.
- Expand and maintain relationships with current and potential customers.
- Conduct preliminary credit file assessments.
- Propose suitable leasing solutions for each customer.
- Bachelor's or Associate's Degree (preferred majors: Banking, Finance, Economics, Accounting, Business Administration, International Trade).
-  Ability to communicate in English or Chinese.
- Good communication skills, positive attitude, responsible, honest, willing to accept challenges, quick learner, disciplined.
- 1-2 years of experience in sales or customer service (preferred). 
- Full-time employment.","Tầng 9-26-27-28-29, Saigon Trade Centre, 37 Tôn Đức Thắng, P. Bến Nghé, Quận 1, TP. HCM; Tầng 12A, Tòa nhà Becamex, 230 Đại Lộ Bình Dương, P. Phú Hòa, Tp. Thủ Dầu Một, Bình Dương; Tầng 5, Tòa nhà điều hành Mobifone Đồng Nai, 236A Phan Trung, P. Tân Tiến, Tp. Biên Hòa, Đồng Nai",Hồ Chí Minh,nhân viên quan hệ khách hàng doanh nghiệp,Finance,Sales,Junior,"['Sales', 'Customer Service', 'Credit Assessment', 'Communication', 'Financial Analysis']",Bachelor,['English'],Full-time,0.8,1.0,2.0
Nhân Viên Quan Hệ Khách Hàng Doanh Nghiệp,Trang Văn hóa công ty,"- Seek customers, contact and meet to introduce financial leasing services to customers.
- Expand and maintain relationships with current and potential customers.
- Conduct preliminary credit file assessments.
- Propose suitable leasing solutions for each customer.
- Bachelor's or Associate's Degree (preferred majors: Banking, Finance, Economics, Accounting, Business Administration, International Trade).
-  Ability to communicate in English or Chinese.
- Good communication skills, positive attitude, responsible, honest, willing to accept challenges, quick learner, disciplined.
- 1-2 years of experience in sales or customer service (preferred). 
- Full-time employment.","Tầng 9-26-27-28-29, Saigon Trade Centre, 37 Tôn Đức Thắng, P. Bến Nghé, Quận 1, TP. HCM; Tầng 12A, Tòa nhà Becamex, 230 Đại Lộ Bình Dương, P. Phú Hòa, Tp. Thủ Dầu Một, Bình Dương; Tầng 5, Tòa nhà điều hành Mobifone Đồng Nai, 236A Phan Trung, P. Tân Tiến, Tp. Biên Hòa, Đồng Nai",Hồ Chí Minh,nhân viên quan hệ khách hàng doanh nghiệp,Finance,Sales,Mid,"['Customer Relationship Management', 'Financial Services', 'Corporate Finance', 'Credit Risk Assessment', 'Business Development']",Bachelor,"['English', 'Vietnamese', 'Chinese']",Full-time,0.9,2.0,5.0
Team Leader – MSME Customers,Trang Văn hóa công ty,"* Manage, coach and train team members.
* Seeking new MSMEs and developing the micro-enterprise customer market.
* Maintain and strengthen relationships with existing and potential customers.
* Propose suitable financial leasing solutions.
* Conduct preliminary credit assessment of customer profiles.
* Bachelor’s degree or higher in Finance, Banking, Economics, Business Administration, or International Trade.
* Fluent in English or Chinese.
* At least 2 years of team management experience.
* Proven track record of strong performance in related positions.
* Experience in coaching and training staff.","Tầng 9-26-27-28-29, Saigon Trade Centre, 37 Tôn Đức Thắng, P. Bến Nghé, Quận 1, TP. HCM",Hồ Chí Minh,team leader  msme customers,Finance,Other,Junior,"['Team Management', 'Coaching', 'Training', 'Finance', 'Customer Development', 'Credit Assessment']",Bachelor,"['Chinese', 'English']",Full-time,0.85,2.0,
Team Leader – MSME Customers,Trang Văn hóa công ty,"* Manage, coach and train team members.
* Seeking new MSMEs and developing the micro-enterprise customer market.
* Maintain and strengthen relationships with existing and potential customers.
* Propose suitable financial leasing solutions.
* Conduct preliminary credit assessment of customer profiles.
* Bachelor’s degree or higher in Finance, Banking, Economics, Business Administration, or International Trade.
* Fluent in English or Chinese.
* At least 2 years of team management experience.
* Proven track record of strong performance in related positions.
* Experience in coaching and training staff.","Tầng 9-26-27-28-29, Saigon Trade Centre, 37 Tôn Đức Thắng, P. Bến Nghé, Quận 1, TP. HCM",Hồ Chí Minh,team leader  msme customers,Finance,Sales,Senior,"['Finance', 'Customer Development', 'Relationship Management', 'Credit Assessment', 'Coaching', 'Financial Leasing']",Bachelor,"['English B1', 'Chinese']",Full-time,0.9,2.0,
eCommerce Operation Specialist,Delight Connection Vietnam Company Limited,"- Oversee daily ecommerce store activities (product listing, order processing, customer service)
- Plan and execute store activities, promotional campaigns, and marketing initiatives
- Monitor inventory levels, logistics, and distribution to ensure timely order delivery 
- Collaborate to develop and maintain brand reputation and identity on ecommerce platform
- Analyze sales data, market trends, and customer insights to predict future demand
- Develop and maintain demand forecasting models using statistical tools and software
- Bachelor’s degree in Marketing, Business Administration, or a related field
- 3-5 years of experience in eCommerce Specialist or eCommerce Operation roles
- Familiarity with ecommerce operation rules and features
- English working proficiency","Tòa CF - Tầng 5, 70 Phạm Ngọc Thạch, phường Võ Thị Sáu, Quận 3, thành phố Hồ Chí Minh, Việt Nam.",Hồ Chí Minh,ecommerce operation specialist,Retail,Operations,Mid,"['Ecommerce Operations', 'Analytics', 'Demand Forecasting', 'Inventory Management', 'Customer Service', 'Marketing']",Bachelor,"['English', 'Vietnamese']",Full-time,0.9,3.0,5.0
Trưởng Phòng Vận Hành Depot Hưng Yên/ Ninh Bình,GSM,"- Organize and manage all Depot operations, including vehicle management, maintenance, and related support activities.
- Ensure all vehicles are maintained and inspected periodically, meeting quality and safety standards.
- Allocate work, direct, and supervise Depot staff to achieve performance goals.
- Develop, improve, and implement Depot management processes to enhance operational efficiency and minimize costs.
- Manage and deploy Depot human resources efficiently for optimal performance.
- Train, mentor, and control staff, ensuring they possess expertise and adhere to company procedures and regulations.
- Evaluate and rate monthly performance of subordinates, performing related tasks concerning rewards, salary increases, and disciplinary action.
- Manage administrative tasks, including processing documents, reports, and records related to Depot operations.
- Ensure effective internal communication and proper execution of administrative procedures.
-  Maintain high-quality transportation service standards and customer satisfaction.
- Develop and maintain customer service policies to enhance customer satisfaction and brand image.
- Bachelor's degree
- Possess at least a B2 driver's license
- Excellent communication and teamwork skills
- Strong logical thinking and management abilities
- Understanding of taxi operations and related regulations
- Strong time management and quick decision-making skills
- Experience in the taxi or customer service industry is preferred.
- Proficient in office software","Vinhomes Ocean Park 2, Văn Giang, Hưng Yên, Việt Nam; Bến Xe Khách Phía Đông - Đường Trần Nhân Tông, Xã Ninh Phúc, Tp. Ninh Bình",Xã Ninh Phúc,trưởng phòng vận hành depot hưng yên/ ninh bình,Logistics,Operations,Mid,"['Management', 'Teamwork', 'Communication', 'Transportation', 'Logistics Operations']",Bachelor,['Vietnamese'],Full-time,0.9,,
KỸ SƯ TE,CÔNG TY TNHH NĂNG LƯỢNG & LINH KIỆN EV FOXCONN (VIỆT NAM),"- Process abnormalities during testing
- Maintain and care for testing equipment
- Complete daily test inspection forms, FAI, and other test documentation forms

- Associate's Degree or higher
- Proficiency in Chinese or English
- Proficient in computer system and office software installation
- Proficient in soldering iron, multimeter, and other tools, able to read electrical circuit diagrams
- Preference for electronics specialization","KCN Amata, Sông Khoai, Thị xã Quảng Yên, Tỉnh Quảng Ninh; Hai Duong, Vietnam; Hai Phong, Vietnam",Vietnam; Hai Phong,kỹ sư te,Manufacturing,Operations,Junior,"['Electrical Engineering', 'Testing', 'Troubleshooting', 'Soldering', 'Multimeter']",College,"['Chinese', 'English']",Full-time,0.8,,
AOI/SMT ENGINEER,CÔNG TY TNHH NĂNG LƯỢNG & LINH KIỆN EV FOXCONN (VIỆT NAM),"- Operate and monitor AOI (Automatic Optical Inspection) machines in PCB/SMT production lines.
- Explain test algorithms
- Develop AOI programs, create libraries, and debug
- Apply repair stations
- Maintain and troubleshoot machines
- Manage AOI network and servers
- Perform AOI standard inspections
- Set up inspection programs (AOI programming) for each type of product
- Verify product defects detected by AOI (false call vs. true defect)
- Analyze error causes and coordinate with relevant departments (SMT, QC, QA, R&D) to implement corrective actions.
- Update, store, and report error data from the AOI system daily.
- Ensure AOI equipment runs smoothly: regular checks, calibration, and basic maintenance.
- Support process improvement for testing and reduce the false reject rate.
-  Manage, monitor, and improve the SMT (Surface Mount Technology) line.
-  Set up and optimize programs for SMT machines: solder paste printer, pick-and-place machine, reflow oven, SPI machine, AOI...
-  Control soldering conditions, ensuring quality according to IPC standards.
-  Perform product defect analysis and implement corrective/preventive actions (CAPA).
-  Develop and improve SMT production technology processes.
-  Collaborate with QA, QC, NPI, and R&D for new product introduction.
- Manage technical documentation: BOM, drawings, work instructions, soldering profiles, machine checklists, etc.
- Train AOI/SMT operators and technicians.
- Participate in quality improvement activities, internal audits, and customer interactions.

- 1-2 years of experience working with AOI machines is preferred.



- Technical degree in areas like electrical/electronic engineering, electromechanical engineering, automation, or related fields.
- Proficiency in Chinese/English


- Willingness to work in shifts or onsite at an industrial park.","KCN Amata, Sông Khoai, Thị xã Quảng Yên, Tỉnh Quảng Ninh; Hai Duong, Vietnam; Hai Phong, Vietnam",Vietnam; Hai Phong,aoi/smt engineer,Manufacturing,Engineering,Junior,"['AOI', 'SMT', 'PCB', 'Troubleshooting', 'Defect Analysis']",Bachelor,"['English', 'Chinese']",Full-time,0.9,1.0,2.0
KỸ SƯ NPI,CÔNG TY TNHH NĂNG LƯỢNG & LINH KIỆN EV FOXCONN (VIỆT NAM),"- Implement new product introduction (NPI) processes.
- Track and improve issues related to the NPI process.
- Communicate and collaborate, strictly implement customer plans.
- Bachelor's degree or higher in a relevant field such as mechanical engineering, mold making, or industrial engineering.
- Basic communication skills in Chinese or English are required.
- Proficiency in Excel, Word, and other office software.
- Outgoing personality, good communication skills, and good interdepartmental collaboration are required.
- Preference given to candidates with NPI or process engineering experience in electronic manufacturing plants.","KCN Amata, Sông Khoai, Thị xã Quảng Yên, Tỉnh Quảng Ninh; Hai Duong, Vietnam; Hai Phong, Vietnam",Vietnam; Hai Phong,kỹ sư npi,Manufacturing,Operations,Junior,"['NPI', 'Process Engineering', 'Excel', 'Word', 'Communication']",Bachelor,['English'],Full-time,0.8,,
Kỹ sư thiết kế cơ cấu,CÔNG TY TNHH NĂNG LƯỢNG & LINH KIỆN EV FOXCONN (VIỆT NAM),"- Design and develop processing equipment for each factory.
- Design and develop automation equipment structures for each factory.
- Handle abnormal situations of automation equipment at each factory.
- Develop different process diagrams for each factory.
- Retrofit and utilize numerous old devices.
- Design pneumatic circuits for various automation equipment.
- Develop complex process equipment at each factory to improve product quality.
- Promote standardization of equipment, introduction of new technologies and meet customer delivery deadlines.
- Promote improvement and optimization of factory automation equipment structure and enhance equipment availability.
- Fluency in Mandarin (listening, speaking, reading, writing).
- 3+ years of experience in developing non-standard automated equipment, focusing on design and independent development.
- Proficiency in CAD, Pro/e, Solid Works, Office Suite, and other daily office software.
- Ability to apply commonly known mechanical principles, machine construction, transmission mechanism design, pneumatic principles, and other related professional knowledge.
- Familiarity with common machining equipment and their manufacturing processes.
- Understanding of electronic device control, including vision principles, robot control, and industrial connectivity.
- Basic understanding of device cost structure and market prices.","KCN Amata, Sông Khoai, Thị xã Quảng Yên, Tỉnh Quảng Ninh; Hai Duong, Vietnam; Hai Phong, Vietnam",Vietnam; Hai Phong,kỹ sư thiết kế cơ cấu,Manufacturing,Product,Junior,"['CAD', 'Pro/e', 'SolidWorks', 'Mechanical Design', 'Automation', 'Pneumatics']",Bachelor,"['Mandarin', 'Vietnamese']",Full-time,0.85,3.0,
THU MUA,CÔNG TY TNHH NĂNG LƯỢNG & LINH KIỆN EV FOXCONN (VIỆT NAM),"- Requesting quotes for materials not included in the consumables category (production materials, general materials, equipment, etc.)
- Selecting suppliers, signing contracts, and tracking deliveries
- Developing and managing supplier relationships
- Inspecting and certifying products
- Analyzing and controlling costs
- Bachelor's degree or higher in FINANCE, ACCOUNTING preferred
- Proficiency in Chinese language preferred
- Ability to work under pressure
- Familiarity with procurement regulations and international trade terms
- Experience working in FDI companies preferred
- Strong communication skills","KCN Amata, Sông Khoai, Thị xã Quảng Yên, Tỉnh Quảng Ninh; Hai Duong, Vietnam; Hai Phong, Vietnam",Vietnam; Hai Phong,thu mua,Manufacturing,Operations,Mid,"['Procurement', 'Supplier Management', 'Cost Control', 'Negotiation', 'International Trade']",Bachelor,['Chinese'],Full-time,0.8,,
